Date,Weight
2015-03-23,219.4
2015-03-24,218.8
2015-03-25,219.0
2015-03-26,218.8
2015-03-27,218.9
2015-03-28,219.0
2015-03-29,219.2
2015-04-01,220.8
2015-04-02,221.4
2015-04-05,220.4
2015-04-06,222.4
2015-04-07,222.4
2015-04-13,222.6
2015-04-18,227.2
2015-04-19,224.6
2015-04-20,223.4
2015-04-21,222.4
2015-04-22,223.0
2015-04-23,222.6
2015-04-24,222.4
2015-04-25,222.8
2015-04-26,221.4
2015-04-27,221.6
2015-04-28,220.6
2015-04-29,221.0
2015-04-30,221.6
2015-05-01,222.2
2015-05-02,222.0
2015-05-08,220.6
2015-05-09,222.2
2015-05-10,221.8
2015-05-11,223.8
2015-05-12,222.4
2015-05-13,219.6
2015-05-14,219.0
2015-05-15,220.4
2015-05-16,221.0
2015-05-17,219.8
2015-05-18,221.2
2015-05-19,219.0
2015-05-20,218.0
2015-05-21,220.6
2015-05-22,220.6
2015-05-26,219.4
2015-05-27,220.8
2015-05-31,220.6
2015-06-01,219.6
2015-06-02,219.4
2015-06-03,219.2
2015-06-04,219.0
2015-06-07,218.5
2015-06-08,220.0
2015-06-09,218.2
2015-06-12,217.0
2015-06-15,219.2
2015-06-16,220.0
2015-06-19,220.8
2015-06-22,221.4
2015-06-23,221.6
2015-06-24,221.8
2015-06-25,221.8
2015-06-27,222.8
2015-06-28,223.0
2015-06-29,223.0
2015-06-30,219.4
2015-07-01,219.8
2015-07-02,221.2
2015-07-07,219.6
2015-07-14,221.6
2015-07-15,221.2
2015-07-16,219.8
2015-07-17,219.8
2015-07-18,219.6
2015-07-19,221.2
2015-07-20,222.0
2015-07-21,219.6
2015-07-22,217.8
2015-07-23,219.8
2015-07-24,218.6
2015-07-25,219.2
2015-07-26,217.6
2015-07-27,217.0
2015-07-29,220.6
2015-07-30,219.0
2015-07-31,218.6
2015-08-01,220.6
2015-08-02,220.4
2015-08-03,219.7
2015-08-04,219.0
2015-08-06,216.2
2015-08-10,217.6
2015-08-11,217.2
2015-08-12,218.6
2015-08-13,217.2
2015-08-14,217.8
2015-08-15,217.2
2015-08-16,218.0
2015-08-24,219.2
2015-08-28,220.8
2015-08-29,219.2
2015-08-30,218.4
2015-08-31,219.4
2015-09-01,217.4
2015-09-04,217.6
2015-09-05,217.4
2015-09-06,217.7
2015-09-07,218.0
2015-09-08,218.0
2015-09-09,218.0
2015-09-10,215.8
2015-09-11,215.0
2015-09-12,214.6
2015-09-13,217.0
2015-09-14,215.6
2015-09-15,215.2
2015-09-16,216.0
2015-09-17,216.6
2015-09-18,215.8
2015-09-19,215.0
2015-09-20,216.6
2015-09-21,216.0
2015-09-22,214.4
2015-09-23,214.0
2015-09-26,214.8
2015-09-27,215.2
2015-09-28,217.6
2015-09-29,215.2
2015-09-30,213.6
2015-10-01,214.4
2015-10-02,214.6
2015-10-03,215.0
2015-10-04,217.8
2015-10-05,216.0
2015-10-06,215.2
2015-10-07,215.2
2015-10-08,213.4
2015-10-09,215.4
2015-10-10,215.2
2015-10-11,216.2
2015-10-12,216.2
2015-10-13,215.2
2015-10-14,214.8
2015-10-15,215.8
2015-10-16,214.2
2015-10-17,215.6
2015-10-18,215.8
2015-10-19,216.6
2015-10-20,214.8
2015-10-21,214.4
2015-10-22,215.0
2015-10-23,214.6
2015-10-24,215.8
2015-10-26,216.6
2015-10-27,215.4
2015-10-28,213.6
2015-10-29,216.4
2015-10-30,213.2
2015-11-02,215.2
2015-11-03,214.6
2015-11-04,214.6
2015-11-05,212.4
2015-11-06,214.2
2015-11-07,214.8
2015-11-08,215.6
2015-11-09,216.2
2015-11-10,216.8
2015-11-11,217.0
2015-11-12,216.4
2015-11-13,214.4
2015-11-14,214.4
2015-11-15,215.8
2015-11-16,215.8
2015-11-17,215.8
2015-11-18,216.4
2015-11-19,215.6
2015-11-20,216.4
2015-11-21,216.6
2015-11-24,216.2
2015-11-28,217.2
2015-11-29,215.4
2015-12-01,216.4
2015-12-02,218.0
2015-12-03,217.0
2015-12-05,216.8
2015-12-07,217.4
2015-12-09,215.6
2015-12-10,216.4
2015-12-11,217.4
2015-12-12,215.6
2015-12-13,216.8
2015-12-14,216.4
2015-12-15,216.2
2015-12-22,216.4
2015-12-23,217.4
2015-12-29,219.2
2016-01-01,223.0
2016-01-02,219.8
2016-01-03,222.4
2016-01-04,221.0
2016-01-05,221.2
2016-01-06,220.2
2016-01-07,218.2
2016-01-08,220.2
2016-01-09,219.8
2016-01-10,219.2
2016-01-11,218.4
2016-01-12,218.6
2016-01-13,217.6
2016-01-14,217.8
2016-01-15,217.6
2016-01-16,219.0
2016-01-17,220.6
2016-01-18,220.6
2016-01-19,218.0
2016-01-20,217.6
2016-01-21,218.2
2016-01-22,216.6
2016-01-25,216.2
2016-01-26,217.0
2016-01-27,218.6
2016-01-28,218.0
2016-02-02,218.6
2016-02-03,219.4
2016-02-05,219.2
2016-02-06,218.2
2016-02-08,219.8
2016-02-09,218.6
2016-02-10,219.0
2016-02-11,218.8
2016-02-12,219.8
2016-02-13,220.0
2016-02-14,218.2
2016-02-15,219.2
2016-02-16,218.8
2016-02-17,218.6
2016-02-18,219.2
2016-02-19,219.2
2016-02-20,218.2
2016-02-21,219.0
2016-02-22,219.0
2016-02-23,219.4
2016-02-25,219.8
2016-02-26,219.4
2016-02-27,219.6
2016-02-29,219.0
2016-03-01,218.0
2016-03-02,218.8
2016-03-03,217.2
2016-03-04,217.4
2016-03-05,218.6
2016-03-07,220.8
2016-03-08,217.2
2016-03-09,218.0
2016-03-10,216.4
2016-03-11,216.6
2016-03-12,218.0
2016-03-13,218.4
2016-03-15,219.4
2016-03-16,219.2
2016-03-17,217.4
2016-03-18,217.0
2016-03-19,217.4
2016-03-20,219.2
2016-03-23,220.8
2016-03-25,219.8
2016-03-26,221.2
2016-03-27,220.8
2016-03-28,220.0
2016-03-29,218.6
2016-03-30,218.8
2016-03-31,220.2
2016-04-01,220.2
2016-04-03,220.2
2016-04-04,221.0
2016-04-05,217.6
2016-04-06,217.8
2016-04-07,218.2
2016-04-08,216.6
2016-04-09,219.0
2016-04-11,219.2
2016-04-12,218.8
2016-04-13,217.2
2016-04-14,217.6
2016-04-15,217.6
2016-04-16,218.0
2016-04-19,219.4
2016-04-20,217.6
2016-04-21,217.6
2016-04-22,217.2
2016-04-23,216.4
2016-05-02,219.4
2016-05-03,219.6
2016-05-04,219.4
2016-05-05,219.4
2016-05-06,218.4
2016-05-07,217.4
2016-05-08,218.0
2016-05-09,216.8
2016-05-10,217.0
2016-05-12,219.0
2016-05-13,218.0
2016-05-15,216.0
2016-05-16,217.6
2016-05-17,217.2
2016-05-18,218.2
2016-05-19,219.4
2016-05-20,219.6
2016-05-22,217.8
2016-05-23,218.6
2016-05-24,218.4
2016-05-25,217.8
2016-05-27,218.6
2016-05-28,219.6
2016-05-29,219.8
2016-05-30,217.4
2016-05-31,219.6
2016-06-01,220.4
2016-06-02,219.4
2016-06-03,217.8
2016-06-06,218.6
2016-06-07,218.4
2016-06-08,218.6
2016-06-09,220.2
2016-06-10,220.8
2016-06-11,220.4
2016-06-12,218.4
2016-06-13,219.2
2016-06-14,219.4
2016-06-17,220.8
2016-06-20,219.0
2016-06-21,218.0
2016-06-22,220.4
2016-06-23,220.8
2016-06-24,219.4
2016-06-29,218.8
2016-06-30,218.8
2016-07-01,218.2
2016-07-02,214.8
2016-07-03,218.0
2016-07-04,220.8
2016-07-05,218.8
2016-07-06,217.4
2016-07-07,217.4
2016-07-08,215.0
2016-07-09,215.4
2016-07-10,216.7
2016-07-11,216.3
2016-07-12,217.1
2016-07-13,217.2
2016-07-14,216.4
2016-07-15,215.0
2016-07-17,213.8
2016-07-18,215.6
2016-07-19,214.7
2016-07-20,215.9
2016-07-21,215.4
2016-07-22,215.2
2016-07-23,214.2
2016-07-24,214.3
2016-07-25,214.6
2017-11-01,223.3
2017-11-05,223.2
2017-11-06,222.9
2017-11-07,222.0
2017-11-08,222.0
2017-11-09,223.2
